"STATION","NAME","DATE","MDTX","PRCP","TAVG","TMAX","TMIN"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-01",,"0.00","68","77","70"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-02",,"0.71","67","69","64"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-03",,"1.36","71","77","65"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-04",,"0.53","71","83","69"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-05",,"0.00","71","76","65"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-06",,"0.00","69","78","66"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-07",,"0.14","69","75","65"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-08",,"0.00","69","75","64"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-09",,"0.00","71","77","63"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-10",,"0.00","68","76","66"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-11",,"0.41","80","93","60"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-12",,"0.01","71","78","66"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-13",,"0.00","67","80","59"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-14",,"0.61","69","76","60"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-15",,"0.05","79","92","60"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-16",,"0.00","69","74","66"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-17",,"0.00","72","77","64"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-18",,"0.00","84","104","65"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-19",,"0.00","69","77","71"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-20",,"0.00","68","77","67"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-21",,"0.01","71","78","65"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-22",,"0.00","72","76","66"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-23",,"0.00","70","86","68"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-24",,"0.00","72","77","66"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-25",,"0.00","82","85","70"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-26",,"0.00","77","95","73"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-27",,"0.00","69","72","67"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-28",,"0.00","77","84","67"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-29",,"0.00","80","97","70"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-30",,"0.00","76","81","69"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-01-31",,"0.00","79","87","71"
"ASN00066037","SYDNEY AIRPORT AMO, AS","1980-02-01",,"0.00","77","89","74"
